"","Isolate","Meropenem","BioSample","Assembly"
"123","P0154","Resistant","SAMN50725678","GCA_052318375.1"
"124","P0155","Resistant","SAMN50725679","GCA_052318315.1"
"125","P0156","Susceptible","SAMN50725680","GCA_052318355.1"
"126","P0157","Resistant","SAMN50725681","GCA_052318335.1"
"127","P0158","Resistant","SAMN50725682","GCA_052318255.1"
"128","P0159","Resistant","SAMN50725683","GCA_052318275.1"
"129","P0160","Susceptible","SAMN50725684","GCA_052318295.1"
"130","P0161","Resistant","SAMN50725685","GCA_052318235.1"
"131","P0162","Susceptible","SAMN50725686","GCA_052318195.1"
"132","P0163","Resistant","SAMN50725687","GCA_052318215.1"
"133","P0164","Resistant","SAMN50725688","GCA_052318155.1"
"134","P0165","Susceptible","SAMN50725689","GCA_052318175.1"
"135","P0166","Susceptible","SAMN50725690","GCA_052318135.1"
"136","P0168","Resistant","SAMN50725691","GCA_052318115.1"
"137","P0169","Resistant","SAMN50725692","GCA_052318095.1"
"138","P0170","Resistant","SAMN50725693","GCA_052318075.1"
"139","P0171","Resistant","SAMN50725694","GCA_052318055.1"
"140","P0172","Susceptible","SAMN50725695","GCA_052318035.1"
"141","P0173","Susceptible","SAMN50725696","GCA_052318015.1"
"142","P0174","Resistant","SAMN50725697","GCA_052317995.1"
"143","P0175","Susceptible","SAMN50725698","GCA_052317975.1"
"144","P0176","Resistant","SAMN50725699","GCA_052317935.1"
"145","P0177","Resistant","SAMN50725700","GCA_052317955.1"
"146","P0178","Resistant","SAMN50725701","GCA_052317915.1"
"147","P0179","Resistant","SAMN50725702","GCA_052317875.1"
"148","P0183","Resistant","SAMN50725703","GCA_052317895.1"
"149","P0185","Resistant","SAMN50725704","GCA_052317855.1"
"150","P0186","Susceptible","SAMN50725705","GCA_052317835.1"
"151","P0187","Susceptible","SAMN50725706","GCA_052317815.1"
"152","P0188","Susceptible","SAMN50725707","GCA_052317795.1"
"153","P0189","Resistant","SAMN50725708","GCA_052317775.1"
"154","P0190","Resistant","SAMN50725709","GCA_052317755.1"
"155","P0191","Resistant","SAMN50725710","GCA_052317735.1"
"156","P0192","Resistant","SAMN50725711","GCA_052317715.1"
"157","P0193","Resistant","SAMN50725712","GCA_052317695.1"
"158","P0194","Resistant","SAMN50725713","GCA_052317655.1"
"159","P0195","I","SAMN50725714","GCA_052317675.1"
"160","P0196","Resistant","SAMN50725715","GCA_052317635.1"
"161","P0197","I","SAMN50725716","GCA_052317615.1"
"162","P0198","Susceptible","SAMN50725717","GCA_052317595.1"
"163","P0202","Susceptible","SAMN50725718","GCA_052317555.1"
"164","P0203","Susceptible","SAMN50725719","GCA_052317575.1"
"165","P0204","Resistant","SAMN50725720","GCA_052317535.1"
"166","P0205","Susceptible","SAMN50725721","GCA_052317515.1"
